	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11
sp1	0	5.2883	4.4161	4.4161	5.2883	5.2883	5.2883	5.2883	5.2883	4.4161	4.4161
sp2	5.2883	0	5.2883	5.2883	1.9976	1.9976	4.3365	4.1309	4.1309	5.2883	5.2883
sp3	4.4161	5.2883	0	0.6323	5.2883	5.2883	5.2883	5.2883	5.2883	3.3445	3.3445
sp4	4.4161	5.2883	0.6323	0	5.2883	5.2883	5.2883	5.2883	5.2883	3.3445	3.3445
sp5	5.2883	1.9976	5.2883	5.2883	0	0.4044	4.2021	3.954	3.954	5.2883	5.2883
sp6	5.2883	1.9976	5.2883	5.2883	0.4044	0	4.2021	3.954	3.954	5.2883	5.2883
sp7	5.2883	4.3365	5.2883	5.2883	4.2021	4.2021	0	1.3333	1.3333	5.2883	5.2883
sp8	5.2883	4.1309	5.2883	5.2883	3.954	3.954	1.3333	0	0.0818	5.2883	5.2883
sp9	5.2883	4.1309	5.2883	5.2883	3.954	3.954	1.3333	0.0818	0	5.2883	5.2883
sp10	4.4161	5.2883	3.3445	3.3445	5.2883	5.2883	5.2883	5.2883	5.2883	0	0
sp11	4.4161	5.2883	3.3445	3.3445	5.2883	5.2883	5.2883	5.2883	5.2883	0	0
