	-2	-3	-5	-6	-7	-8	-9	sp1	-11	sp2	-14	sp3	-15	sp4	-17	-20	sp5	sp6	sp7
-2	0	0.4273	0.8634	0.5774	1.3635	0.964	1.3992	2.1229	1.3635	2.1229	1.6138	2.1229	1.7861	2.1229	1.6549	2.0727	2.1229	2.1229	2.1229
-3	0.4273	0	0.4361	0.1501	0.9362	0.5367	0.9719	1.6956	0.9362	1.6956	1.1865	1.6956	1.3588	1.6956	1.2276	1.6454	1.6956	1.6956	1.6956
-5	0.8634	0.4361	0	0.5862	1.3723	0.9728	0.5358	1.2595	1.3723	2.1317	1.6226	2.1317	0.9227	1.2595	1.6637	2.0815	1.2595	2.1317	2.1317
-6	0.5774	0.1501	0.5862	0	0.7861	0.3866	1.122	1.8457	0.7861	1.5455	1.0364	1.5455	1.5089	1.8457	1.0775	1.4953	1.8457	1.5455	1.5455
-7	1.3635	0.9362	1.3723	0.7861	0	1.1727	1.9081	2.6318	1.0864	2.3316	0.2503	1.8458	2.295	2.6318	0.2914	0.7091	2.6318	0.7594	0.7594
-8	0.964	0.5367	0.9728	0.3866	1.1727	0	1.5086	2.2324	0.6384	1.1589	1.423	1.3979	1.8955	2.2324	1.4641	1.8819	2.2324	1.9322	1.9322
-9	1.3992	0.9719	0.5358	1.122	1.9081	1.5086	0	1.7953	1.9081	2.6675	2.1583	2.6675	0.3869	0.7237	2.1995	2.6172	0.7237	2.6675	2.6675
sp1	2.1229	1.6956	1.2595	1.8457	2.6318	2.2324	1.7953	0	2.6318	3.3913	2.8821	3.3913	2.1822	2.5191	2.9232	3.341	2.5191	3.3913	3.3913
-11	1.3635	0.9362	1.3723	0.7861	1.0864	0.6384	1.9081	2.6318	0	1.7973	1.3366	0.7594	2.295	2.6318	1.3778	1.7955	2.6318	1.8458	1.8458
sp2	2.1229	1.6956	2.1317	1.5455	2.3316	1.1589	2.6675	3.3913	1.7973	0	2.5819	2.5567	3.0544	3.3913	2.623	3.0408	3.3913	3.0911	3.0911
-14	1.6138	1.1865	1.6226	1.0364	0.2503	1.423	2.1583	2.8821	1.3366	2.5819	0	2.0961	2.5453	2.8821	0.0411	0.4589	2.8821	0.5092	0.5092
sp3	2.1229	1.6956	2.1317	1.5455	1.8458	1.3979	2.6675	3.3913	0.7594	2.5567	2.0961	0	3.0544	3.3913	2.1372	2.5549	3.3913	2.6052	2.6052
-15	1.7861	1.3588	0.9227	1.5089	2.295	1.8955	0.3869	2.1822	2.295	3.0544	2.5453	3.0544	0	1.1107	2.5864	3.0042	0.3368	3.0544	3.0544
sp4	2.1229	1.6956	1.2595	1.8457	2.6318	2.2324	0.7237	2.5191	2.6318	3.3913	2.8821	3.3913	1.1107	0	2.9232	3.341	1.4475	3.3913	3.3913
-17	1.6549	1.2276	1.6637	1.0775	0.2914	1.4641	2.1995	2.9232	1.3778	2.623	0.0411	2.1372	2.5864	2.9232	0	0.4178	2.9232	0.468	0.468
-20	2.0727	1.6454	2.0815	1.4953	0.7091	1.8819	2.6172	3.341	1.7955	3.0408	0.4589	2.5549	3.0042	3.341	0.4178	0	3.341	0.0503	0.0503
sp5	2.1229	1.6956	1.2595	1.8457	2.6318	2.2324	0.7237	2.5191	2.6318	3.3913	2.8821	3.3913	0.3368	1.4475	2.9232	3.341	0	3.3913	3.3913
sp6	2.1229	1.6956	2.1317	1.5455	0.7594	1.9322	2.6675	3.3913	1.8458	3.0911	0.5092	2.6052	3.0544	3.3913	0.468	0.0503	3.3913	0	0.1005
sp7	2.1229	1.6956	2.1317	1.5455	0.7594	1.9322	2.6675	3.3913	1.8458	3.0911	0.5092	2.6052	3.0544	3.3913	0.468	0.0503	3.3913	0.1005	0
