label	node
-2	-2
-3	-3
-4	-4
-5	-5
-6	-6
-8	-8
-9	-9
-10	-10
-11	-11
-12	-12
-13	-13
-14	-14
-15	-15
-16	-16
-17	-17
-18	-18
-20	-20
-19	-19
-24	-24
-23	-23
-25	-25
sp1	-26
-27	-27
-28	-28
-29	-29
-30	-30
-31	-31
-32	-32
-34	-34
-33	-33
-35	-35
-36	-36
-38	-38
-40	-40
-39	-39
-42	-42
sp2	-44
-43	-43
-45	-45
-46	-46
-48	-48
-47	-47
-49	-49
sp3	-50
sp4	-52
-51	-51
-53	-53
sp5	-54
sp6	-55
-56	-56
sp7	-58
sp8	-57
-60	-60
-59	-59
-61	-61
sp9	-64
sp10	-63
sp11	-66
sp12	-65
-67	-67
sp13	-68
sp14	-70
sp15	-69
