from,to,edge_type,length,time_length
1,2,tree,1.9006596723126687,1.9006596723126687
2,3,tree,0.00785513330073484,0.00785513330073484
2,4,tree,0.00785513330073484,0.00785513330073484
3,5,tree,0.031144640909850363,0.031144640909850363
3,7,reticulation,0.012700137858830698,0.0
4,6,tree,0.031144640909850363,0.031144640909850363
4,7,tree,0.0030101287426389824,0.0
5,10,tree,1.2394019903471045,1.2394019903471045
5,11,reticulation,0.03937597304390084,0.0
6,9,tree,0.6205194196355606,0.6205194196355606
6,11,tree,0.03862357537726956,0.0
7,8,tree,0.6516640605454109,0.6516640605454109
8,15,tree,0.3506368024114477,0.3506368024114477
9,16,tree,0.5483954460982337,0.5483954460982337
9,8,reticulation,1.266605485699381,0.0
11,12,tree,0.44452275692463394,0.44452275692463394
12,13,tree,0.662875822334883,0.662875822334883
12,14,tree,0.5266334651223743,0.5266334651223743
13,18,tree,0.061516286474277315,0.061516286474277315
13,19,tree,0.9337601369913662,0.9337601369913662
14,17,tree,0.29082617989294945,0.29082617989294945
15,14,reticulation,1.0604546998272892,0.0
16,20,tree,0.42031555320940184,0.42031555320940184
16,22,tree,0.8478076229488841,0.0
17,24,tree,0.0012774670051456383,0.0012774670051456383
17,26,tree,1.2492333397512008,0.0
18,21,tree,0.09434500321130912,0.09434500321130912
18,22,reticulation,1.5286456838959737,0.0
19,33,tree,0.019181837225862974,0.019181837225862974
19,29,reticulation,3.0269920336373866,0.0
20,29,tree,0.451928297307687,0.451928297307687
20,30,tree,0.17914680825749763,0.17914680825749763
21,24,reticulation,0.3435821439534735,0.0
22,23,tree,0.09306753620616348,0.09306753620616348
23,25,tree,0.7983581515367884,0.7983581515367884
23,26,reticulation,1.9143316341754204,0.0
24,28,tree,0.5051173582555903,0.5051173582555903
26,27,tree,0.7983581515367884,0.7983581515367884
28,30,reticulation,1.0596626183163549,0.0
29,32,tree,0.019181837225862974,0.019181837225862974
30,31,tree,0.29196332627605237,0.29196332627605237
