id,label,type
1,-1,internal
2,-2,internal
3,-3,internal
4,hyb4,hyb_source
5,-5,internal
6,-6,internal
7,-7,internal
8,-8,internal
9,-9,internal
10,-10,internal
11,-11,internal
12,-12,internal
13,-13,internal
14,-14,internal
15,-15,internal
16,-16,internal
17,-17,internal
18,-18,internal
19,hyb19,hyb_source
20,-20,internal
21,-21,internal
22,hyb22,hyb_source
23,-23,internal
24,-24,internal
25,-25,internal
26,-26,internal
27,-27,internal
28,-28,internal
29,-29,internal
30,-30,internal
31,hyb31,hyb_source
32,-32,internal
33,-33,internal
34,-34,internal
35,-35,internal
36,hyb36,hyb_source
37,-37,internal
38,-38,internal
39,-39,internal
40,hyb40,hyb_source
41,-41,internal
42,-42,internal
43,-43,internal
44,-44,internal
45,-45,internal
46,-46,internal
47,-47,internal
48,-48,internal
49,-49,internal
50,-50,internal
51,hyb51,hyb_source
52,hyb52,hyb_source
53,-53,internal
54,-54,internal
55,-55,internal
56,-56,internal
57,-57,internal
58,-58,internal
59,-59,internal
60,-60,internal
61,-61,internal
62,-62,internal
63,-63,internal
64,-64,internal
65,-65,internal
66,-66,internal
67,-67,internal
68,-68,internal
69,hyb69,hyb_source
70,-70,internal
71,hyb71,hyb_source
72,-72,internal
73,-73,internal
74,-74,internal
75,-75,internal
76,-76,internal
77,-77,internal
78,-78,internal
79,-79,internal
80,-80,internal
81,-81,internal
82,-82,internal
83,-83,internal
84,sp84,leaf
85,hyb85,hyb_source
86,-86,internal
87,-87,internal
88,hyb88,hyb_source
89,-89,internal
90,ext90,extinct
91,-91,internal
92,-92,internal
93,-93,internal
94,hyb94,hyb_source
95,-95,internal
96,-96,internal
97,-97,internal
98,-98,internal
99,-99,internal
100,hyb100,hyb_source
101,hyb101,hyb_source
102,-102,internal
103,-103,internal
104,-104,internal
105,hyb105,hyb_source
106,hyb106,hyb_source
107,-107,internal
108,-108,internal
109,sp109,leaf
110,sp110,leaf
111,-111,internal
112,-112,internal
113,sp113,leaf
114,sp114,leaf
115,-115,internal
116,-116,internal
117,-117,internal
118,-118,internal
119,-119,internal
120,-120,internal
121,-121,internal
122,sp122,leaf
123,hyb123,hyb_source
124,sp124,leaf
125,-125,internal
126,-126,internal
127,-127,internal
128,sp128,leaf
129,sp129,leaf
130,sp130,leaf
