id,label,type
1,-1,internal
2,-2,internal
3,-3,internal
4,-4,internal
5,-5,internal
6,-6,internal
7,-7,internal
8,hyb8,hyb_leaf
9,-9,internal
10,-10,internal
11,hyb11,hyb_leaf
12,ext12,extinct
13,-13,internal
14,-14,internal
15,-15,internal
16,-16,internal
17,-17,internal
18,-18,internal
19,-19,internal
20,-20,internal
21,-21,internal
22,hyb22,hyb_leaf
23,-23,internal
24,hyb24,hyb_leaf
25,-25,internal
26,hyb26,hyb_leaf
27,-27,internal
28,hyb28,hyb_leaf
29,hyb29,hyb_leaf
30,-30,internal
31,hyb31,hyb_leaf
32,-32,internal
33,-33,internal
34,sp34,hyb_leaf
35,-35,internal
36,sp36,leaf
37,-37,internal
38,hyb38,hyb_leaf
39,sp39,hyb_leaf
40,sp40,leaf
41,sp41,leaf
42,sp42,leaf
43,sp43,leaf
