from,to,edge_type,length,time_length
1,2,tree,0.09582105576853701,0.09582105576853701
2,3,tree,0.4643956293400476,0.4643956293400476
2,4,tree,0.5111555246558412,0.5111555246558412
3,5,tree,0.04675989531579372,0.04675989531579372
3,6,tree,1.505722099179251,1.505722099179251
4,8,tree,0.8976995361336333,0.8976995361336333
4,9,reticulation,0.9189322201753873,0.0
5,7,tree,0.2235571243802037,0.2235571243802037
5,9,tree,0.10337882913629512,0.0
6,13,reticulation,1.1498348001936878,0.0
8,11,tree,0.01641738292181616,0.01641738292181616
8,12,tree,1.1437025441257815,1.1437025441257815
9,10,tree,0.9141169190554495,0.9141169190554495
10,14,tree,1.250041446770299,1.250041446770299
10,11,reticulation,1.7289505320937695,0.0
11,13,tree,0.5448452848080079,0.5448452848080079
13,15,tree,0.14387734390001494,0.14387734390001494
14,19,tree,0.6721692822064544,0.6721692822064544
14,16,reticulation,3.4796079003759988,0.0
15,16,tree,0.5613188180622761,0.5613188180622761
15,17,tree,0.5272303291999667,0.5272303291999667
16,18,tree,0.6721692822064544,0.6721692822064544
18,21,tree,0.5566957715434189,0.5566957715434189
18,22,reticulation,3.015590857942166,0.0
19,20,tree,0.5566957715434189,0.5566957715434189
19,22,tree,1.808355606846741,0.0
22,23,tree,0.5566957715434189,0.5566957715434189
