from,to,edge_type,length,time_length
1,2,tree,1.0767223082348236,1.0767223082348236
1,3,tree,0.10101594447328759,0.10101594447328759
2,16,tree,2.3350856882455293,2.3350856882455293
2,17,tree,2.9232776917651764,2.9232776917651764
3,4,tree,0.08801973705414888,0.08801973705414888
3,5,tree,1.069044839011152,1.069044839011152
4,6,tree,0.0315780336632808,0.0315780336632808
4,7,tree,0.04107579111437917,0.04107579111437917
5,18,tree,0.08017501506724445,0.08017501506724445
5,19,tree,2.8299392165155606,2.8299392165155606
6,8,tree,0.05201160659969106,0.05201160659969106
6,9,tree,3.2117587207361806,3.2117587207361806
7,10,tree,3.7698885273581846,3.7698885273581846
7,11,tree,0.7444108081876131,0.7444108081876131
8,12,tree,2.9355175233748456,2.9355175233748456
8,13,tree,2.1433622899948284,2.1433622899948284
9,42,tree,0.3387422442602408,0.3387422442602408
9,43,tree,0.5676275640731023,0.5676275640731023
11,14,tree,0.2757135177222554,0.2757135177222554
11,15,tree,2.79659239935771,2.79659239935771
12,35,tree,0.7918571548347462,0.7918571548347462
12,36,tree,1.2148195654867844,0.0
13,28,tree,1.4350277016509456,1.4350277016509456
13,29,tree,0.5383510868387691,0.5383510868387691
14,20,tree,2.0124346229554932,2.0124346229554932
14,22,reticulation,1.5393217330488815,0.0
15,50,tree,0.22888531981286153,0.22888531981286153
15,52,reticulation,6.445403955168343,0.0
16,40,tree,0.5881920035196471,0.5881920035196471
16,41,tree,0.158211884711557,0.158211884711557
18,21,tree,0.22404574179119385,0.22404574179119385
18,22,tree,0.7591179751079113,0.0
21,24,tree,0.07486836968206734,0.07486836968206734
21,25,tree,0.5207931906563907,0.5207931906563907
22,23,tree,2.332439712190493,2.332439712190493
23,46,tree,0.4173244892578225,0.4173244892578225
23,47,tree,0.02147156924482374,0.02147156924482374
24,26,tree,1.8626220973205163,1.8626220973205163
24,27,tree,1.1900859606830119,1.1900859606830119
27,30,tree,0.4689069744572967,0.4689069744572967
27,31,tree,1.0694560369124404,1.0694560369124404
28,56,tree,0.1489846865638178,0.1489846865638178
28,57,tree,0.1489846865638178,0.1489846865638178
29,32,tree,0.35473862220845076,0.35473862220845076
29,33,tree,1.0456613013759943,1.0456613013759943
30,34,tree,0.7918571548347462,0.7918571548347462
30,36,reticulation,4.999434235897148,0.0
31,54,tree,0.19130809237960245,0.19130809237960245
31,55,tree,0.19130809237960245,0.19130809237960245
32,38,tree,0.6909226791675436,0.6909226791675436
32,39,tree,0.6909226791675436,0.6909226791675436
36,37,tree,0.7918571548347462,0.7918571548347462
41,44,tree,0.42998011880809006,0.42998011880809006
41,45,tree,0.42998011880809006,0.42998011880809006
42,51,tree,0.22888531981286153,0.22888531981286153
42,52,tree,0.7187540421510604,0.0
47,48,tree,0.39585292001299877,0.39585292001299877
47,49,tree,0.39585292001299877,0.39585292001299877
52,53,tree,0.22496647906620781,0.22496647906620781
53,58,tree,0.003918840746653718,0.003918840746653718
53,59,tree,0.003918840746653718,0.003918840746653718
