id,label,type
1,-1,internal
2,-2,internal
3,-3,internal
4,-4,internal
5,-5,internal
6,-6,internal
7,-7,internal
8,-8,internal
9,-9,internal
10,sp10,leaf
11,-11,internal
12,-12,internal
13,-13,internal
14,-14,internal
15,-15,internal
16,-16,internal
17,sp17,leaf
18,-18,internal
19,sp19,leaf
20,ext20,extinct
21,-21,internal
22,-22,internal
23,hyb23,hyb_leaf
24,-24,internal
25,ext25,extinct
26,ext26,extinct
27,-27,internal
28,-28,internal
29,-29,internal
30,-30,internal
31,-31,internal
32,-32,internal
33,sp33,leaf
34,sp34,leaf
35,sp35,leaf
36,-36,internal
37,hyb37,hyb_leaf
38,sp38,leaf
39,sp39,leaf
40,sp40,leaf
41,-41,internal
42,-42,internal
43,sp43,leaf
44,sp44,leaf
45,sp45,leaf
46,sp46,leaf
47,-47,internal
48,sp48,leaf
49,sp49,leaf
50,sp50,leaf
51,sp51,leaf
52,-52,internal
53,hyb53,hyb_leaf
54,sp54,leaf
55,sp55,leaf
56,sp56,leaf
57,sp57,leaf
58,sp58,leaf
59,sp59,leaf
